Name,Price
"Apple iPhone 15 (Blue, 128 GB)","68999"
"Apple iPhone 15 (Black, 128 GB)","68999"
"Apple iPhone 14 Plus (Blue, 128 GB)","56999"
"Apple iPhone 15 (Green, 128 GB)","68999"
"Apple iPhone 14 Plus (Midnight, 128 GB)","56999"
"Apple iPhone 15 (Pink, 128 GB)","68999"
"Apple iPhone 14 Plus (Starlight, 128 GB)","56999"
"Apple iPhone 15 (Yellow, 128 GB)","68999"
"Apple iPhone 12 (Blue, 128 GB)","44999"
"Apple iPhone 12 (Blue, 64 GB)","39999"
"Apple iPhone 13 (Pink, 128 GB)","52999"
"Apple iPhone 13 (Starlight, 128 GB)","52999"
"Apple iPhone 12 (Black, 64 GB)","39999"
"Apple iPhone 13 (Midnight, 128 GB)","52999"
"Apple iPhone 13 (Green, 256 GB)","62999"
"Apple iPhone 13 (Blue, 128 GB)","52999"
"Apple iPhone 14 (Midnight, 256 GB)","69999"
"Apple iPhone 14 (Purple, 128 GB)","59999"
